User ID , IP , Geo , Industry , Company Size,
1,43.217.98.114, Austin , Software ,0-50,
2,101.247.100.229, San Francisco , Software ,100-200,
3,201.112.124.140, Denver ,Sports,0-50,
4,253.231.118.198, Dallas , Sports ,100-200,
5,160.170.200.182, New York , Marketing ,100-200,
6,129.88.147.200, San Francisco , Retail ,0-50,
7,154.85.159.174, Austin , Oil and Gas ,1000+,
8,179.180.127.155, Dallas , Software ,100-200,
9,201.111.240.66, San Antonio , Tourism ,0-50,
10,79.210.84.134, New York ,Sports,201-499,
